Building Name,Property Type,Address,Area / Size,Rent,City,Region,Property Details,Property Link,Image URL,Listing ID,Source,Building Size,Year Built,Grade,Construction Status
GAR CORP - LAXMI INFOBAHN - TOWER 5,office,"Sy.No.107/P, ORR Service Road, Kokapet Village, Rajendra Nagar Mandal, Ranga Reddy District, Kokapet, Hyderabad","67,111 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/gar-corp-laxmi-infobahn-tower-5-syno107-p-orr-service-road-kokapet-village-rajendra-nagar-mandal-ranga-reddy-district,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1692790803/prd/Focus/Property/wblleodowa5ktzeanv8c.jpg",gar-corp-laxmi-infobahn-tower-5-syno107-p-orr-service-road-kokapet-village-rajendra-nagar-mandal-ranga-reddy-district,JLL,,,,
PHOENIX TRITON,office,"Phoenix Triton, Kokapet, Hyderabad","64,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/phoenix-triton,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1750177489/prd/Focus/Property/omwugcezpnwf5lroh8on.jpg",phoenix-triton,JLL,,,,
PRESTIGE SKY TECH – SKY TWO,office,"Prestige Sky Tech – Sky Two, Financial District, Hyderabad","60,266 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/prestige-sky-tech-wing-b,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1750782137/prd/Focus/Property/ubpunasiab9db9slzebc.png",prestige-sky-tech-wing-b,JLL,,,,
RAJAPUSHPA - PARADIGM,office,"Rajapushpa - Paradigm, Financial District, Hyderabad","59,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/rajapushpa-paradigm,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1738125575/prd/Focus/Property/bavdhm1zwlcxu5rjeieg.jpg",rajapushpa-paradigm,JLL,,,,
POOJA - THE HARVEST,office,"Pooja - The Harvest, Kokapet, Hyderabad","55,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/pooja-the-harvest,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1737952722/prd/Focus/Property/f0l9x2mxwhjzp7ghjofs.jpg",pooja-the-harvest,JLL,,,,
PRESTIGE SKY TECH – SKY ONE,office,"Prestige Sky Tech – Sky One, Financial District, Hyderabad","54,415 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/prestige-sky-tech-wing-a,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1750782083/prd/Focus/Property/nt95q6t9ar0qke8pyiwx.png",prestige-sky-tech-wing-a,JLL,,,,
SAS DIAMOND,office,"SAS Diamond, Financial District, Hyderabad","48,980 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/sas-diamond,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1733891911/prd/Focus/Property/npqr9yyktpnfk8fecscf.jpg",sas-diamond,JLL,,,,
DIVYASREE ORION - BLOCK 7 - NORTH TOWER,office,"Survey No 66/1, Raidurg Village, Serilingampally Mandal Ranga Reddy, Raidurg, Hyderabad","45,583 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/divyasree-orion-block-7-north-tower-survey-no-66-1-raidurg-village-serilingampally-mandal-ranga-reddy,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1724171076/prd/Focus/Property/ldzzn1vlosqkypgbx5c3.jpg",divyasree-orion-block-7-north-tower-survey-no-66-1-raidurg-village-serilingampally-mandal-ranga-reddy,JLL,,,,
DIVYASREE TECHRIDGE BLOCK 2 - SOUTH WING,office,"Survey No.201 (P), Manikonda, Rajendra Nagar, Ranga Reddy District, Ranga Reddy, Manikonda, Hyderabad","43,170 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/divyasree-techridge-block-2-south-wing-survey-no201-p-manikonda-rajendra-nagar-ranga-reddy-district-ranga-reddy,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1738081454/prd/Focus/Property/dgiwgkv8pndabom36rr4.jpg",divyasree-techridge-block-2-south-wing-survey-no201-p-manikonda-rajendra-nagar-ranga-reddy-district-ranga-reddy,JLL,,,,
TSI BAR BUILDING,office,"WaveRock Building, Road No 2, Financial District, Financial District, Hyderabad","42,603 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/tsi-bar-building-waverock-building-road-no-2-financial-district,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1751995613/prd/Focus/Property/ysp6bpgkh8uuyunvljo7.jpg",tsi-bar-building-waverock-building-road-no-2-financial-district,JLL,,,,
